,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
看完,-0.009329711,-0.015468811,0.0031344935,0.0023182204,-0.0056625446,0.0077225603,-0.00013178664,-0.014080081,-0.00010051789,0.005126749,-0.013329023,-0.008508877,0.010649458,0.010395645,-0.008071773,-0.0055209035,0.0014851477,0.011297401,0.00040460695,0.006964941,0.010944498,-0.007832952,0.0004975337,-0.016535394,-0.016508346,-0.0046840305,-0.010664362,-0.006488557,-0.0048173554,-0.007040898,-0.014763618,-0.005057812,-0.0028821945,0.019520285,0.00054923305,0.024497783,0.00813679,-0.010106718,0.0010109236,0.0014711315,0.010733283,0.0041405987,0.01932858,0.001034281,-0.0065168864,-0.007875739,-0.009174908,0.0028759586,0.005860826,0.005353211
之後,0.0021910889,-0.0010611691,0.011117995,0.00475248,0.0013591533,0.0011231734,0.0035364965,0.0038437312,-0.004598688,0.009710694,-0.007601577,0.007347323,-0.001518666,-0.0033028608,-0.0011374932,-0.008558215,0.0028082202,-0.0028312842,-0.0070919646,-0.0022717325,0.0039734133,-0.01107425,0.0046744985,0.0010024839,-0.011468277,-0.006338506,-0.012666149,0.008219518,0.0005736541,-0.008849365,-0.006036878,-0.0134150395,-0.0071728798,-0.0016494767,-0.008690036,0.014026578,0.0010087756,-0.0014397822,-0.011429014,-0.00953248,0.0020318918,0.011949967,0.013110035,0.007689153,-0.011736107,0.0064493045,-0.009498719,0.0029069106,0.0068539507,0.005690166
難過,0.00253499,-0.009915099,-0.0006785641,-0.008054628,-0.0056317416,-0.0029854376,0.0028409672,-0.0015285003,0.0059396457,0.004759462,-0.0033258703,0.0003007061,0.0043955888,-0.00076491403,0.0011682715,0.0021424296,-0.0019314492,0.005650969,0.003653928,-0.008554462,-0.007089795,-0.0101379985,0.008586388,0.0056440528,-0.0075961393,-0.007189093,0.0059262505,0.0035672227,-0.009086726,0.0021681753,0.0043037403,-0.004926151,-0.0046675694,-0.002627221,0.008016117,0.0075168763,-0.0042097424,0.006730742,-0.010307973,0.0051034605,-0.0020937354,0.0064884513,0.0062919506,0.007030567,-0.001282075,0.002506066,0.00700989,0.0005618482,-0.0039335154,0.004139845
感到,0.0025980994,-0.00020606931,-0.008890879,-0.005445718,0.004494429,-0.0034046776,0.0058757444,-0.002237447,0.006666805,0.0016059665,-0.010714912,-0.009729395,0.00727359,2.6359223e-05,-0.00982521,-0.00085384207,-0.007304674,0.008644895,-0.010464996,0.0033850751,-0.0021749204,-0.0031638693,0.008031747,0.004375696,-0.009577956,-0.0067131855,-0.009096251,-0.009162644,-0.008962681,-0.010477795,0.0075974134,-0.009176752,-0.00860508,0.0088477405,-0.0063238475,-0.007382079,0.00029113385,0.0048661456,-0.00588993,0.00551324,0.0029508322,0.0053140502,0.009747831,-0.0025808879,-0.0067655155,0.0073073567,-0.004780958,0.0074601555,0.0019737014,0.006453558
浪費,-0.0110038,-0.014300575,0.011137438,-0.0138145555,-0.0077094473,0.004418042,0.0043791477,0.0017283126,-0.0035608225,-0.0011880674,-0.0073984773,-0.008099531,0.007363642,-0.0040902207,-0.004050837,0.0010287756,-0.00612993,-0.0034970765,-0.010780436,0.004899571,0.003789811,2.2449307e-05,0.001881553,-0.0016429414,-0.006110934,0.007534107,-0.012812881,-0.00086805155,-0.008533594,0.0011554307,-0.000176493,-0.016267007,0.005223276,-0.0046816845,0.00787162,0.017661788,-0.00040795942,-0.005585037,-0.004525351,-0.003105113,0.003695905,0.0010405895,0.017055755,-0.010274174,0.0033892798,-0.0029138108,-0.012803158,0.008611573,-0.003862392,0.0067193904
時間,-0.013010747,-0.005697665,-0.006264561,-0.0059098587,-0.007861003,0.008627716,0.0137435235,-0.014652315,-0.011829696,0.004122796,-0.006479897,0.00091006677,0.004420065,0.014275468,0.004888378,-0.0052326643,0.00041578413,0.012456967,-0.002602275,-0.009139916,0.006578573,-0.009919367,-0.00870416,-0.018466733,-0.0064062234,-0.0060089007,-0.016853152,0.006564606,-0.0067603835,0.005118085,-0.01063718,-0.011334931,0.0057179416,0.0155310035,0.009351661,0.0066564763,-0.0033210728,-0.00781492,-0.00837436,-0.009501034,0.010375266,-0.002264701,0.008658851,-0.0022330733,-0.0012717127,-0.01292513,-0.007775126,0.008691819,-0.006485008,-0.0073689814
結局,-0.0129157165,-0.006498327,-0.0020164151,-0.013760156,-0.011915949,0.002712768,0.0028809507,-0.012561281,-0.014890523,-0.0045068795,-0.0001781695,-0.0020981173,0.0056332066,0.013729787,0.0026304012,-0.010596587,-0.0025703406,0.016227916,-0.010834076,-0.0018225723,0.0025990386,0.0036627296,-0.0027353563,-0.0186388,-0.004123686,0.004327312,-0.00863032,-0.0010878182,0.0035999317,-0.0074158004,-0.00933453,-0.0023395282,-0.0043403404,0.010386438,-0.0047934833,0.013693192,-0.006970873,-7.73932e-05,-0.009409317,0.0066995956,0.0026983875,0.011088431,0.0036669013,-0.00050492253,-0.009826345,0.00090460305,-0.005700155,0.007691744,-0.0035538964,0.00011881494
Marvel,-0.009016581,0.009356257,0.0029900873,0.0023140027,0.003702026,0.008795654,-0.0012614698,0.0052729207,-0.0025775342,0.003408354,-0.0018476571,0.0028016204,-0.0037129885,-0.00011357451,0.006971965,0.004789311,0.0002306969,0.0053553036,0.009672642,-0.003973916,-0.006373513,-0.00071289233,0.008416504,0.007837651,0.009719167,0.009399144,0.0027168493,-0.0076146964,0.0064382954,0.0020827749,-0.007007875,-0.0075067217,-0.0074550444,0.0035871875,-0.000983761,-0.005909095,0.009339958,-0.004769284,-0.008356803,0.009306256,0.0067827976,-0.0073608505,-0.0007012028,-0.00653135,-0.0025608402,0.0051719267,-0.0015120284,0.0036783249,-0.00085881347,-0.0039330446
近期,0.0047765714,-0.0043498464,0.0046533966,0.004812554,-0.0063218707,-0.0029726678,0.006663212,0.007130048,-0.010428566,0.0023327675,-0.00198672,-0.0009771409,0.009932418,0.009219609,-0.0069072037,-0.010640181,-0.008581117,0.008799588,0.004439503,-0.00517803,0.0035703394,-0.009786679,-0.00933729,-0.0035944134,0.00596875,0.0055844393,-0.00798495,0.0083487155,-0.00482477,-0.0073673576,-0.0028388281,-0.006554353,-0.008413839,-0.0006547319,0.0004393077,-0.0046868473,0.000165097,0.0071885497,0.0040188753,0.0032106007,-0.008737419,-0.006734798,6.378313e-06,0.0058819596,-0.010661093,0.0010354156,0.00069302303,-0.002167846,0.005925712,-0.0075502857
處理,0.0080559645,-0.005250795,0.0008503641,0.0055068904,-0.0023630555,0.0071633067,0.0057207104,-0.010822496,0.0069782436,0.0023016764,-0.003599177,-0.0008000734,-0.0043667485,0.0063768895,0.00851394,-0.0016882455,0.00079100305,0.00462756,0.00844172,-0.0076020677,-0.0035468698,-0.0027869828,-0.0024723974,0.0069140093,-0.0070506223,-0.0017162935,-4.4429413e-05,0.008982133,0.008871572,0.00841811,0.0030759412,-0.002711845,-0.002390141,0.005933707,-0.0011134957,0.009357171,0.0022832078,0.008394953,-0.008996338,0.002513196,-0.0016723545,0.0043568527,-0.004013072,-0.00030287096,-0.002751685,-0.0035444836,-0.011315913,0.009689026,0.0031249695,-0.004159765
